date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:13	12276/12276	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Apr%202014%2011:54:06%20GMT	http://www.thecowisgonemoo.com/approach-html/index-second.html	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/index-second.html	(from )
08:27:13	79/79	---M--	200	added ('OK')	text/plain	date:Tue,%2017%20Jan%202012%2010:00:44%20GMT	http://www.thecowisgonemoo.com/robots.txt		(from )
08:27:13	2252/2252	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Apr%202014%2010:34:30%20GMT	http://www.thecowisgonemoo.com/approach-html/css/rev-grid.css	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/css/rev-grid.css	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:14	17765/17765	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Apr%202014%2010:21:02%20GMT	http://www.thecowisgonemoo.com/approach-html/css/font-awesome.min.css	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/css/font-awesome.min.css	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:15	22602/22602	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Apr%202014%2010:32:14%20GMT	http://www.thecowisgonemoo.com/approach-html/css/base.css	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/css/base.css	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:15	5582/5582	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Apr%202014%2010:21:09%20GMT	http://www.thecowisgonemoo.com/approach-html/css/second-demo.css	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/css/second-demo.css	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:16	1296/1296	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Apr%202014%2009:20:50%20GMT	http://www.thecowisgonemoo.com/approach-html/css/responsive.css	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/css/responsive.css	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:16	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2006%20Apr%202014%2011:30:51%20GMT	http://www.thecowisgonemoo.com/approach-html/images/favicon.ico	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/favicon.ico	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:17	3656/3656	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2011:29:42%20GMT	http://www.thecowisgonemoo.com/approach-html/images/apple-touch-icon.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/apple-touch-icon.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:17	4565/4565	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2011:29:42%20GMT	http://www.thecowisgonemoo.com/approach-html/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/apple-touch-icon-72x72.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:18	7205/7205	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2011:29:43%20GMT	http://www.thecowisgonemoo.com/approach-html/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/apple-touch-icon-114x114.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:20	15416/15416	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2006%20Apr%202014%2010:21:28%20GMT	http://www.thecowisgonemoo.com/approach-html/js/modernizr.js	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/js/modernizr.js	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:20	2619/2619	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2010:21:18%20GMT	http://www.thecowisgonemoo.com/approach-html/images/logo-1.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/logo-1.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:20	96383/96383	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2006%20Apr%202014%2010:21:28%20GMT	http://www.thecowisgonemoo.com/approach-html/js/jquery.min.js	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/js/jquery.min.js	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:21	2432/2432	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2010:21:15%20GMT	http://www.thecowisgonemoo.com/approach-html/images/icon-check.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/icon-check.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:22	13613/13613	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2010:21:18%20GMT	http://www.thecowisgonemoo.com/approach-html/images/logo-clients-1.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/logo-clients-1.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:22	10028/10028	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Apr%202014%2010:21:19%20GMT	http://www.thecowisgonemoo.com/approach-html/images/logo-clients-2.png	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/logo-clients-2.png	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
08:27:25	4867/4867	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Apr%202014%2010:21:23%20GMT	http://www.thecowisgonemoo.com/approach-html/images/testimonial-1.jpg	C:/My%20Web%20Sites/approach/www.thecowisgonemoo.com/approach-html/images/testimonial-1.jpg	(from http://www.thecowisgonemoo.com/approach-html/index-second.html)
